Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Summer 2020-2021,Faculty Courses,-,-,5
Summer 2020-2021,Total,240,125,-
Spring 2020-2021,University Courses,-,44,-
Spring 2020-2021,Required Courses,-,18,-
Spring 2020-2021,Mathematics Requirement Courses,-,3,-
Spring 2020-2021,Core Elective Courses,-,12,-
Spring 2020-2021,Area Elective Courses,-,18,-
Spring 2020-2021,Free Electives,-,30,-
Spring 2020-2021,Faculty Courses,-,-,5
Spring 2020-2021,Total,240,125,-
Fall 2020-2021,University Courses,-,44,-
Fall 2020-2021,Required Courses,-,18,-
Fall 2020-2021,Mathematics Requirement Courses,-,3,-
Fall 2020-2021,Core Elective Courses,-,12,-
Fall 2020-2021,Area Elective Courses,-,18,-
Fall 2020-2021,Free Electives,-,30,-
Fall 2020-2021,Faculty Courses,-,-,5
Fall 2020-2021,Total,240,125,-
Summer 2019-2020,University Courses,-,44,-
Summer 2019-2020,Required Courses,-,18,-
Summer 2019-2020,Mathematics Requirement Courses,-,3,-
Summer 2019-2020,Core Elective Courses,-,12,-
Summer 2019-2020,Area Elective Courses,-,18,-
Summer 2019-2020,Free Electives,-,30,-
Summer 2019-2020,Faculty Courses,-,-,5
Summer 2019-2020,Total,240,125,-
Spring 2019-2020,University Courses,-,44,-
Spring 2019-2020,Required Courses,-,18,-
Spring 2019-2020,Mathematics Requirement Courses,-,3,-
Spring 2019-2020,Core Elective Courses,-,12,-
Spring 2019-2020,Area Elective Courses,-,18,-
Spring 2019-2020,Free Electives,-,30,-
Spring 2019-2020,Faculty Courses,-,-,5
Spring 2019-2020,Total,240,125,-
Fall 2019-2020,University Courses,-,44,-
Fall 2019-2020,Required Courses,-,18,-
Fall 2019-2020,Mathematics Requirement Courses,-,3,-
Fall 2019-2020,Core Elective Courses,-,12,-
Fall 2019-2020,Area Elective Courses,-,18,-
Fall 2019-2020,Free Electives,-,30,-
Fall 2019-2020,Faculty Courses,-,-,5
Fall 2019-2020,Total,240,125,-
Summer 2018-2019,University Courses,-,44,-
Summer 2018-2019,Required Courses,-,18,-
Summer 2018-2019,Mathematics Requirement Courses,-,3,-
Summer 2018-2019,Core Elective Courses,-,12,-
Summer 2018-2019,Area Elective Courses,-,15,-
Summer 2018-2019,Free Electives,-,33,-
Summer 2018-2019,Faculty Courses,-,-,5
Summer 2018-2019,Total,240,125,-
Spring 2018-2019,University Courses,-,44,-
Spring 2018-2019,Required Courses,-,18,-
Spring 2018-2019,Mathematics Requirement Courses,-,3,-
Spring 2018-2019,Core Elective Courses,-,12,-
Spring 2018-2019,Area Elective Courses,-,15,-
Spring 2018-2019,Free Electives,-,33,-
Spring 2018-2019,Faculty Courses,-,-,5
Spring 2018-2019,Total,240,125,-
Fall 2018-2019,University Courses,-,44,-
Fall 2018-2019,Required Courses,-,18,-
Fall 2018-2019,Mathematics Requirement Courses,-,3,-
Fall 2018-2019,Core Elective Courses,-,12,-
Fall 2018-2019,Area Elective Courses,-,15,-
Fall 2018-2019,Free Electives,-,33,-
Fall 2018-2019,Faculty Courses,-,-,5
Fall 2018-2019,Total,240,125,-
