Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Summer 2020-2021,Faculty Courses,-,-,5
Summer 2020-2021,Total,240,125,-
Spring 2020-2021,University Courses,-,44,-
Spring 2020-2021,Required Courses,-,18,7
Spring 2020-2021,Philosophy Requirement Course,-,3,1
Spring 2020-2021,Core Electives,-,21,-
Spring 2020-2021,Area Electives,-,18,-
Spring 2020-2021,Free Elective,-,21,-
Spring 2020-2021,Faculty Courses,-,-,5
Spring 2020-2021,Total,240,125,-
Fall 2020-2021,University Courses,-,44,-
Fall 2020-2021,Required Courses,-,18,7
Fall 2020-2021,Philosophy Requirement Course,-,3,1
Fall 2020-2021,Core Electives,-,21,-
Fall 2020-2021,Area Electives,-,18,-
Fall 2020-2021,Free Elective,-,21,-
Fall 2020-2021,Faculty Courses,-,-,5
Fall 2020-2021,Total,240,125,-
Summer 2019-2020,University Courses,-,44,-
Summer 2019-2020,Required Courses,-,18,7
Summer 2019-2020,Philosophy Requirement Course,-,3,1
Summer 2019-2020,Core Electives,-,21,-
Summer 2019-2020,Area Electives,-,18,-
Summer 2019-2020,Free Elective,-,21,-
Summer 2019-2020,Faculty Courses,-,-,5
Summer 2019-2020,Total,240,125,-
Spring 2019-2020,University Courses,-,44,-
Spring 2019-2020,Required Courses,-,18,7
Spring 2019-2020,Philosophy Requirement Course,-,3,1
Spring 2019-2020,Core Electives,-,21,-
Spring 2019-2020,Area Electives,-,18,-
Spring 2019-2020,Free Elective,-,21,-
Spring 2019-2020,Faculty Courses,-,-,5
Spring 2019-2020,Total,240,125,-
Fall 2019-2020,University Courses,-,44,-
Fall 2019-2020,Required Courses,-,18,7
Fall 2019-2020,Philosophy Requirement Course,-,3,1
Fall 2019-2020,Core Electives,-,21,-
Fall 2019-2020,Area Electives,-,18,-
Fall 2019-2020,Free Elective,-,21,-
Fall 2019-2020,Faculty Courses,-,-,5
Fall 2019-2020,Total,240,125,-
Summer 2018-2019,University Courses,-,44,-
Summer 2018-2019,Required Courses,-,12,5
Summer 2018-2019,Philosophy Requirement Course,-,3,1
Summer 2018-2019,Core Electives,-,15,-
Summer 2018-2019,Area Electives,-,18,-
Summer 2018-2019,Free Elective,-,33,-
Summer 2018-2019,Faculty Courses,-,-,5
Summer 2018-2019,Total,240,125,-
Spring 2018-2019,University Courses,-,44,-
Spring 2018-2019,Required Courses,-,12,5
Spring 2018-2019,Philosophy Requirement Course,-,3,1
Spring 2018-2019,Core Electives,-,15,-
Spring 2018-2019,Area Electives,-,18,-
Spring 2018-2019,Free Elective,-,33,-
Spring 2018-2019,Faculty Courses,-,-,5
Spring 2018-2019,Total,240,125,-
Fall 2018-2019,University Courses,-,44,-
Fall 2018-2019,Required Courses,-,12,5
Fall 2018-2019,Philosophy Requirement Course,-,3,1
Fall 2018-2019,Core Electives,-,15,-
Fall 2018-2019,Area Electives,-,18,-
Fall 2018-2019,Free Elective,-,33,-
Fall 2018-2019,Faculty Courses,-,-,5
Fall 2018-2019,Total,240,125,-
