Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Summer 2020-2021,Required Courses,-,39,15
Summer 2020-2021,Core Electives,-,21,-
Summer 2020-2021,Area Electives,-,9,-
Summer 2020-2021,Free Electives,-,15,-
Summer 2020-2021,Engineering,90,-,-
Summer 2020-2021,Faculty Courses,-,-,5
Summer 2020-2021,Basic Science,60,-,-
Summer 2020-2021,Total,240,125,-
Spring 2020-2021,University Courses,-,41,-
Spring 2020-2021,Required Courses,-,39,15
Spring 2020-2021,Core Electives,-,21,-
Spring 2020-2021,Area Electives,-,9,-
Spring 2020-2021,Free Electives,-,15,-
Spring 2020-2021,Engineering,90,-,-
Spring 2020-2021,Faculty Courses,-,-,5
Spring 2020-2021,Basic Science,60,-,-
Spring 2020-2021,Total,240,125,-
Fall 2020-2021,University Courses,-,41,-
Fall 2020-2021,Required Courses,-,39,15
Fall 2020-2021,Core Electives,-,21,-
Fall 2020-2021,Area Electives,-,9,-
Fall 2020-2021,Free Electives,-,15,-
Fall 2020-2021,Engineering,90,-,-
Fall 2020-2021,Faculty Courses,-,-,5
Fall 2020-2021,Basic Science,60,-,-
Fall 2020-2021,Total,240,125,-
Summer 2019-2020,University Courses,-,41,-
Summer 2019-2020,Required Courses,-,39,15
Summer 2019-2020,Core Electives,-,21,-
Summer 2019-2020,Area Electives,-,9,-
Summer 2019-2020,Free Electives,-,15,-
Summer 2019-2020,Engineering,90,-,-
Summer 2019-2020,Faculty Courses,-,-,5
Summer 2019-2020,Basic Science,60,-,-
Summer 2019-2020,Total,240,125,-
Spring 2019-2020,University Courses,-,41,-
Spring 2019-2020,Required Courses,-,39,15
Spring 2019-2020,Core Electives,-,21,-
Spring 2019-2020,Area Electives,-,9,-
Spring 2019-2020,Free Electives,-,15,-
Spring 2019-2020,Engineering,90,-,-
Spring 2019-2020,Faculty Courses,-,-,5
Spring 2019-2020,Basic Science,60,-,-
Spring 2019-2020,Total,240,125,-
Fall 2019-2020,University Courses,-,41,-
Fall 2019-2020,Required Courses,-,39,15
Fall 2019-2020,Core Electives,-,21,-
Fall 2019-2020,Area Electives,-,9,-
Fall 2019-2020,Free Electives,-,15,-
Fall 2019-2020,Engineering,90,-,-
Fall 2019-2020,Faculty Courses,-,-,5
Fall 2019-2020,Basic Science,60,-,-
Fall 2019-2020,Total,240,125,-
Summer 2018-2019,University Courses,-,41,-
Summer 2018-2019,Required Courses,-,39,15
Summer 2018-2019,Core Electives,-,21,-
Summer 2018-2019,Area Electives,-,9,-
Summer 2018-2019,Free Electives,-,15,-
Summer 2018-2019,Engineering,90,-,-
Summer 2018-2019,Faculty Courses,-,-,5
Summer 2018-2019,Basic Science,60,-,-
Summer 2018-2019,Total,240,125,-
Spring 2018-2019,University Courses,-,41,-
Spring 2018-2019,Required Courses,-,39,15
Spring 2018-2019,Core Electives,-,21,-
Spring 2018-2019,Area Electives,-,9,-
Spring 2018-2019,Free Electives,-,15,-
Spring 2018-2019,Engineering,90,-,-
Spring 2018-2019,Faculty Courses,-,-,5
Spring 2018-2019,Basic Science,60,-,-
Spring 2018-2019,Total,240,125,-
Fall 2018-2019,University Courses,-,41,-
Fall 2018-2019,Required Courses,-,39,15
Fall 2018-2019,Core Electives,-,21,-
Fall 2018-2019,Area Electives,-,9,-
Fall 2018-2019,Free Electives,-,15,-
Fall 2018-2019,Engineering,90,-,-
Fall 2018-2019,Faculty Courses,-,-,5
Fall 2018-2019,Basic Science,60,-,-
Fall 2018-2019,Total,240,125,-
