Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Summer 2022-2023,Faculty Courses,-,-,5
Summer 2022-2023,Total,240,125,-
Spring 2022-2023,University Courses,-,41,-
Spring 2022-2023,Required Courses,-,30,11
Spring 2022-2023,Core Electives,-,27,-
Spring 2022-2023,Area Electives,-,12,-
Spring 2022-2023,Free Electives,-,15,-
Spring 2022-2023,Faculty Courses,-,-,5
Spring 2022-2023,Total,240,125,-
Fall 2022-2023,University Courses,-,41,-
Fall 2022-2023,Required Courses,-,30,11
Fall 2022-2023,Core Electives,-,27,-
Fall 2022-2023,Area Electives,-,12,-
Fall 2022-2023,Free Electives,-,15,-
Fall 2022-2023,Faculty Courses,-,-,5
Fall 2022-2023,Total,240,125,-
Summer 2021-2022,University Courses,-,41,-
Summer 2021-2022,Required Courses,-,30,11
Summer 2021-2022,Core Electives,-,27,-
Summer 2021-2022,Area Electives,-,12,-
Summer 2021-2022,Free Electives,-,15,-
Summer 2021-2022,Faculty Courses,-,-,5
Summer 2021-2022,Total,240,125,-
Spring 2021-2022,University Courses,-,41,-
Spring 2021-2022,Required Courses,-,30,11
Spring 2021-2022,Core Electives,-,27,-
Spring 2021-2022,Area Electives,-,12,-
Spring 2021-2022,Free Electives,-,15,-
Spring 2021-2022,Faculty Courses,-,-,5
Spring 2021-2022,Total,240,125,-
Fall 2021-2022,University Courses,-,41,-
Fall 2021-2022,Required Courses,-,30,11
Fall 2021-2022,Core Electives,-,27,-
Fall 2021-2022,Area Electives,-,12,-
Fall 2021-2022,Free Electives,-,15,-
Fall 2021-2022,Faculty Courses,-,-,5
Fall 2021-2022,Total,240,125,-
Summer 2020-2021,University Courses,-,41,-
Summer 2020-2021,Required Courses,-,30,11
Summer 2020-2021,Core Electives,-,27,-
Summer 2020-2021,Area Electives,-,12,-
Summer 2020-2021,Free Electives,-,15,-
Summer 2020-2021,Faculty Courses,-,-,5
Summer 2020-2021,Total,240,125,-
Spring 2020-2021,University Courses,-,41,-
Spring 2020-2021,Required Courses,-,30,11
Spring 2020-2021,Core Electives,-,27,-
Spring 2020-2021,Area Electives,-,12,-
Spring 2020-2021,Free Electives,-,15,-
Spring 2020-2021,Faculty Courses,-,-,5
Spring 2020-2021,Total,240,125,-
Fall 2020-2021,University Courses,-,41,-
Fall 2020-2021,Required Courses,-,30,11
Fall 2020-2021,Core Electives,-,27,-
Fall 2020-2021,Area Electives,-,12,-
Fall 2020-2021,Free Electives,-,15,-
Fall 2020-2021,Faculty Courses,-,-,5
Fall 2020-2021,Total,240,125,-
Summer 2019-2020,University Courses,-,41,-
Summer 2019-2020,Required Courses,-,30,11
Summer 2019-2020,Core Electives,-,27,-
Summer 2019-2020,Area Electives,-,12,-
Summer 2019-2020,Free Electives,-,15,-
Summer 2019-2020,Faculty Courses,-,-,5
Summer 2019-2020,Total,240,125,-
Spring 2019-2020,University Courses,-,41,-
Spring 2019-2020,Required Courses,-,30,11
Spring 2019-2020,Core Electives,-,27,-
Spring 2019-2020,Area Electives,-,12,-
Spring 2019-2020,Free Electives,-,15,-
Spring 2019-2020,Faculty Courses,-,-,5
Spring 2019-2020,Total,240,125,-
Fall 2019-2020,University Courses,-,41,-
Fall 2019-2020,Required Courses,-,30,11
Fall 2019-2020,Core Electives,-,27,-
Fall 2019-2020,Area Electives,-,12,-
Fall 2019-2020,Free Electives,-,15,-
Fall 2019-2020,Faculty Courses,-,-,5
Fall 2019-2020,Total,240,125,-
Summer 2018-2019,University Courses,-,41,-
Summer 2018-2019,Required Courses,-,30,11
Summer 2018-2019,Core Electives,-,27,-
Summer 2018-2019,Area Electives,-,12,-
Summer 2018-2019,Free Electives,-,15,-
Summer 2018-2019,Faculty Courses,-,-,5
Summer 2018-2019,Total,240,125,-
Spring 2018-2019,University Courses,-,41,-
Spring 2018-2019,Required Courses,-,30,11
Spring 2018-2019,Core Electives,-,27,-
Spring 2018-2019,Area Electives,-,12,-
Spring 2018-2019,Free Electives,-,15,-
Spring 2018-2019,Faculty Courses,-,-,5
Spring 2018-2019,Total,240,125,-
Fall 2018-2019,University Courses,-,41,-
Fall 2018-2019,Required Courses,-,30,11
Fall 2018-2019,Core Electives,-,27,-
Fall 2018-2019,Area Electives,-,12,-
Fall 2018-2019,Free Electives,-,15,-
Fall 2018-2019,Faculty Courses,-,-,5
Fall 2018-2019,Total,240,125,-
